VGS_H	VGS_L	VDS_H	VDS_L	ID_H	ID_L	L_d_int	L_s_int	L_g_int	L_d_pin	L_s_pin	L_g_pin	L_dH_ext	L_sH_ext	L_gH_ext	L_dL_ext	L_sL_ext	L_gL_ext	L_Hwire	L_Lwire
2,618170400	1,324986900	15,308335000	29,228910000	1,679977700	2,063748600	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,00e-09	5,43e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09
2,708404600	1,253241200	16,826507000	30,078914000	1,656280200	2,277092100	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	5,00e-09	5,43e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,00e-09	1,00e-09
2,372492500	1,224648500	36,656197000	33,323324000	2,742774000	2,451526100	3,80e-10	3,00e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	1,00e-09	1,87e-08	6,00e-09	1,00e-09	1,00e-09	1,00e-09
2,667026400	1,241088700	17,304982000	29,729207000	1,600459400	2,214185200	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,00e-09	1,00e-09
2,770612400	1,083786400	37,417001000	36,947311000	2,388861800	1,603868400	9,86e-10	3,00e-09	1,00e-09	1,00e-09	1,00e-09	5,43e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,10e-08
2,269200900	1,283668100	36,820635000	37,399827000	2,124358900	2,081992000	3,80e-10	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	5,00e-09	5,43e-09	1,00e-09	2,31e-08	6,00e-09	1,00e-09	1,00e-09	1,10e-08
2,651646700	1,245658100	17,562168000	29,540894000	1,579263000	2,148745700	3,80e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,00e-09	1,00e-09
2,695332600	1,345883200	14,565261000	29,422692000	1,637760100	2,548820900	5,43e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,00e-09	1,00e-09	1,00e-09	1,87e-08	6,00e-09	3,20e-08	1,00e-09	2,31e-08
2,753529400	1,072930200	35,128451000	36,085387000	2,394113300	1,845492000	1,00e-10	3,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	1,20e-08	1,00e-09	5,43e-09
2,226417700	1,568432900	13,609509000	29,445094000	1,416789500	2,435106600	9,86e-10	5,43e-09	1,87e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,25e-08	3,20e-08	9,86e-09	6,00e-09	1,00e-09	9,86e-09	1,00e-09
2,714684000	1,382813200	15,722019000	29,044301000	1,939765700	1,910783000	3,80e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	3,20e-08	1,00e-09
2,602472000	1,328639500	16,774789000	29,484739000	1,646684900	2,061945900	1,00e-10	5,43e-09	1,87e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,00e-09	5,43e-09
2,280046200	1,492421000	13,680194000	29,072389000	1,448137600	2,461832200	3,80e-10	5,43e-09	1,87e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,25e-08	3,20e-08	9,86e-09	6,00e-09	3,20e-08	1,00e-09	2,76e-08
2,892170300	1,373678000	13,730544000	28,064550000	1,979113300	2,067828500	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,00e-09	1,00e-09	3,20e-08	9,86e-09	1,00e-09	1,00e-09	3,20e-08	5,43e-09
2,581747700	1,292762300	17,287571000	29,642226000	1,605916000	2,221229200	5,43e-10	5,43e-09	1,43e-08	1,00e-09	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,87e-08	5,43e-09
2,709023600	1,148604800	35,520991000	35,614779000	2,395826100	1,824342800	3,80e-10	3,00e-09	1,43e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,87e-08	1,00e-09
2,712930600	1,310779100	14,619359000	28,831197000	1,798373700	2,024874600	3,80e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,20e-08	5,43e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,87e-08	1,00e-09
2,578844400	1,333602100	16,357805000	29,487943000	1,592279900	2,141626300	5,43e-10	5,43e-09	1,43e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	5,43e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09
2,040530500	1,649012100	15,583687000	28,830793000	1,392860900	2,428002300	3,80e-10	5,43e-09	1,43e-08	1,43e-08	1,00e-09	3,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09
2,764270800	1,080626700	37,413094000	36,951626000	2,393887400	1,608762900	9,86e-10	3,00e-09	1,00e-09	1,00e-09	1,00e-09	5,43e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	3,20e-08	1,00e-09	2,76e-08
2,582507300	1,333528600	16,577976000	29,330233000	1,615299700	2,071513600	9,86e-10	5,43e-09	1,87e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09
2,667677200	1,245607100	17,187548000	29,694748000	1,589074700	2,195711900	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	5,43e-09	1,00e-09	1,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09
2,743736400	1,090669700	36,655677000	35,690935000	2,422473300	1,784229700	1,00e-10	3,00e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,20e-08	1,00e-09	5,43e-09
2,744473700	1,081781900	36,678773000	35,721851000	2,422460000	1,787092800	3,80e-10	3,00e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09
2,269734200	1,259850400	38,240734000	35,874289000	2,160549600	2,103481300	3,80e-10	3,00e-09	1,00e-09	1,43e-08	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	1,10e-08
2,616961900	1,288665000	16,279672000	29,554358000	1,628207200	2,157136200	3,80e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,87e-08	5,43e-09
2,058366400	1,634736300	15,686057000	29,200223000	1,395798900	2,423241500	5,43e-10	5,43e-09	1,43e-08	1,43e-08	1,00e-09	3,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,87e-08	2,31e-08
2,256454000	1,326356900	38,370526000	35,843908000	2,173024400	2,119555700	3,80e-10	3,00e-09	1,00e-09	1,43e-08	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	5,43e-09	3,20e-08	1,00e-09	2,76e-08
2,733406800	1,265983100	35,040256000	35,249760000	2,420725400	1,977230000	9,86e-10	3,00e-09	1,87e-08	1,00e-09	1,00e-09	1,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09
2,218475900	1,569247400	13,567008000	29,441548000	1,420068200	2,437939300	5,43e-10	5,43e-09	1,43e-08	1,00e-09	1,00e-09	5,43e-09	5,00e-09	2,76e-08	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,10e-08	1,00e-09
2,814332700	1,360952800	14,151490000	30,503170000	1,631648900	2,546038800	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	1,00e-09	2,31e-08	6,00e-09	1,43e-08	1,00e-09	1,00e-09
2,718561600	1,071513400	36,589241000	36,286236000	2,412051800	1,713049200	3,80e-10	3,00e-09	1,43e-08	1,00e-09	1,00e-09	5,43e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	3,20e-08	1,00e-09	2,76e-08
2,716411100	1,068086100	35,845116000	35,852301000	2,388481400	1,769834800	3,80e-10	3,00e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,00e-09
2,786891600	1,007531000	35,442301000	37,096471000	2,364510900	1,653938400	9,86e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,25e-08	1,00e-09	1,00e-09	1,00e-09	1,43e-08	1,00e-09	1,00e-09
1,762336800	1,822619000	16,682679000	27,091545000	1,513995000	2,516445800	1,00e-10	5,43e-09	3,20e-08	1,43e-08	1,00e-09	3,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,87e-08	5,43e-09
2,652611200	1,250205500	17,567630000	29,591697000	1,589754600	2,126429300	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,43e-08	1,00e-09	1,00e-09
2,952624100	1,541919300	13,715810000	27,666802000	2,166155500	2,215633600	3,80e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,20e-08	5,00e-09	1,00e-09	3,20e-08	9,86e-09	1,00e-09	1,00e-09	1,87e-08	5,43e-09
2,653333200	1,244235000	17,585239000	29,549963000	1,590104300	2,129152800	3,80e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	3,20e-08	1,00e-09	2,76e-08
2,735030400	1,327061200	14,806994000	29,733948000	1,661903100	2,554870300	3,80e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	1,00e-09	1,87e-08	6,00e-09	3,20e-08	1,00e-09	1,00e-09
2,670292100	1,249306700	17,138168000	29,711201000	1,594743400	2,203053800	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	1,43e-08	1,00e-09	1,00e-09
2,746127300	1,067732300	35,505354000	36,342998000	2,384354600	1,773446300	1,00e-10	3,00e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	1,43e-08	1,00e-09	1,00e-09
2,306741200	1,228416400	36,482245000	35,235444000	2,265258000	2,120625800	1,00e-10	3,00e-09	5,43e-09	1,00e-09	1,00e-09	5,43e-09	5,43e-09	2,76e-08	1,00e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,00e-09
2,661055900	1,388083700	16,208755000	29,380417000	1,706333400	2,026849600	1,00e-10	5,43e-09	1,43e-08	1,00e-09	1,00e-09	1,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,87e-08	5,43e-09
2,270415800	1,293533600	38,351232000	36,671292000	2,125689900	2,083572400	3,80e-10	3,00e-09	1,00e-09	1,43e-08	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	1,20e-08	1,00e-09	5,43e-09
2,584077000	1,326377800	16,806638000	29,371185000	1,597747500	2,085573000	9,86e-10	5,43e-09	1,43e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09
2,181241700	1,590125000	13,694726000	28,810227000	1,386361600	2,420142400	3,80e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,00e-09	2,76e-08	3,20e-08	1,00e-09	1,00e-09	3,20e-08	2,50e-09	1,00e-09
